a,ei,n. the 1st letter of the Roman alphabet\nn. the blood group whose red cells carry the A antigen,"第一个字母 A; 一个; 第一的\r\nart. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步",5,,a man came out of the room
ability,ә'biliti,n. the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment\nn. possession of the qualities (especially mental qualities) required to do something or get something done,"n. 能力, 才干\n[经] 能力, 才能",4,s:abilities,the manager had lost his ability to motivate the players
able,'eibl,a. (usually followed by `to') having the necessary means or skill or know-how or authority to do something\ns. have the skills and qualifications to do things well\ns. having inherent physical or mental ability or capacity\ns. having a strong healthy body,"a. 能干的, 能够的",5,,he was able to read Greek at the age of eight
about,ә'baut,s. on the move\nr. all around or on all sides\nr. in the area or vicinity\nr. used of movement to or among many different places or in no particular direction,"prep. 在...周围, 大约, 有关, 关于\nadv. 大约, 四处, 在附近, 周围",5,,I was thinking about you
above,ә'bʌv,n. an earlier section of a written text\ns. appearing earlier in the same text\nr. at an earlier place\nr. in or to a place that is higher,"prep. 在上方, 超出\nadv. 在上面\na. 上述的, 上面的",4,,a display of fireworks above the town
abroad,ә'brɒ:d,s. in a foreign country\nr. to or in a foreign country,"adv. 往国外, 到室外, 到处\na. 往国外的, 在室外的, 广泛四散的",3,,we usually go abroad for a week in May
absent,'æbsәnt,v. go away or leave\na. not being in a specified place\ns. lost in thought; showing preoccupation,"a. 缺席的, 不在的, 缺乏的, 漫不经心的\nvt. 使缺席",2,p:absented/i:absenting/d:absented/3:absents,most pupils were absent from school at least once
accent,'æksәnt,n. distinctive manner of oral expression\nn. a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation,"n. 重音, 口音, 特点, 注重点\nvt. 重读, 加重音号于, 强调",2,s:accents/p:accented/i:accenting/d:accented/3:accents,a strong American accent
accept,әk'sept,v. consider or hold as true\nv. receive willingly something given or offered\nv. give an affirmative reply to; respond favorably to\nv. react favorably to; consider right and proper,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍\nvi. 同意",5,d:accepted/p:accepted/i:accepting/3:accepts,he accepted a pen as a present
accident,'æksidәnt,n. an unfortunate mishap; especially one causing damage or injury\nn. anything that happens suddenly or by chance without an apparent cause,"n. 意外事件, 机遇, 事故, 次要方面\n[化] 意外事故; 事故",3,s:accidents,he had an accident at the factory
